category_slug,features,query
mens-athletic-shoes,breathability,breathability
mens-athletic-shoes,cushioning,cushioning
mens-athletic-shoes,durability,durability
mens-athletic-shoes,fit and comfort,fit and comfort
mens-athletic-shoes,lightweight design,lightweight design
mens-athletic-shoes,support,support
mens-athletic-shoes,traction,traction
mens-athletic-shoes,versatility,versatility
vitamin-b-complex-supplements,absorption,absorption
vitamin-b-complex-supplements,effectiveness,effectiveness
vitamin-b-complex-supplements,ingredients,ingredients
vitamin-b-complex-supplements,side effects,side effects
vitamin-b-complex-supplements,taste,taste
shampoos,cleansing,cleansing
shampoos,moisturizing,moisturizing
shampoos,scalp care,scalp care
shampoos,scent,scent
shampoos,strengthening,strengthening
shampoos,volume,volume
steam-iron,anti-drip feature,anti-drip feature
steam-iron,auto shut-off,auto shut-off
steam-iron,lightweight design,lightweight design
steam-iron,steam burst function,steam burst function
steam-iron,steam output,steam output
steam-iron,temperature control,temperature control
steam-iron,water tank capacity,water tank capacity
gaming-chairs,adjustable seat height,adjustable seat height
gaming-chairs,cushioning thickness,cushioning thickness
gaming-chairs,lumbar support,lumbar support
gaming-chairs,material quality,material quality
gaming-chairs,reclining function,reclining function